"NO","ISSUE","SEVERITY","DESCRIPTION","OPTIONS"
"1","App can be installed on a vulnerable unpatched Android version 4.4-4.4.4, [minSdk=19]","high","This application can be installed on an older version of android that has multiple unfixed vulnerabilities. These devices won't receive reasonable security updates from Google. Support an Android version => 10, API 29 to receive reasonable security updates.","Suppression the rule vulnerable_os_version in com.fpe.comptenickel"
"2","Clear text traffic is Enabled For App[android:usesCleartextTraffic=true]","high","The app intends to use cleartext network traffic, such as cleartext HTTP, FTP stacks, DownloadManager, and MediaPlayer. The default value for apps that target API level 27 or lower is ""true"". Apps that target API level 28 or higher default to ""false"". The key reason for avoiding cleartext traffic is the lack of confidentiality, authenticity, and protections against tampering; a network attacker can eavesdrop on transmitted data and also modify it without being detected.","Suppression the rule clear_text_traffic in com.fpe.comptenickel"
"3","Broadcast Receiver (com.learnium.RNDeviceInfo.RNDeviceReceiver) is not Protected. [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule receiver_explicitly_exported in com.fpe.comptenickel"
"4","Broadcast Receiver (com.pushwoosh.PushAmazonReceiver) is Protected by a permission, but the protection level of the permission should be checked. <strong>Permission: </strong>com.amazon.device.messaging.permission.SEND [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.fpe.comptenickel"
"5","Broadcast Receiver (com.pushwoosh.BootReceiver) is Protected by a permission, but the protection level of the permission should be checked. <strong>Permission: </strong>android.permission.RECEIVE_BOOT_COMPLETED [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.fpe.comptenickel"
"6","Service (com.pushwoosh.FcmRegistrationService) is not Protected. An intent-filter exists.","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. The presence of intent-filter indicates that the Service is explicitly exported.","Suppression the rule service_exported_intent_filter_exists in com.fpe.comptenickel"
"7","Service (com.pushwoosh.PushFcmIntentService) is not Protected. An intent-filter exists.","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. The presence of intent-filter indicates that the Service is explicitly exported.","Suppression the rule service_exported_intent_filter_exists in com.fpe.comptenickel"
"8","Content Provider (com.pushwoosh.PushwooshSharedDataProvider) is not Protected. [android:exported=true]","warning","A Content Provider is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device.","Suppression the rule provider_explicitly_exported in com.fpe.comptenickel"
"9","Broadcast Receiver (com.google.firebase.iid.FirebaseInstanceIdReceiver) is Protected by a permission, but the protection level of the permission should be checked. <strong>Permission: </strong>com.google.android.c2dm.permission.SEND [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.fpe.comptenickel"
"10","Broadcast Receiver (com.google.android.gms.measurement.AppMeasurementInstallReferrerReceiver) is Protected by a permission, but the protection level of the permission should be checked. <strong>Permission: </strong>android.permission.INSTALL_PACKAGES [android:exported=true]","warning","A Broadcast Receiver is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule receiver_exported_protected_permission_not_defined in com.fpe.comptenickel"
"11","Service (androidx.work.impl.background.systemjob.SystemJobService) is Protected by a permission, but the protection level of the permission should be checked. <strong>Permission: </strong>android.permission.BIND_JOB_SERVICE [android:exported=true]","warning","A Service is found to be shared with other apps on the device therefore leaving it accessible to any other application on the device. It is protected by a permission which is not defined in the analysed application. As a result, the protection level of the permission should be checked where it is defined. If it is set to normal or dangerous, a malicious application can request and obtain the permission and interact with the component. If it is set to signature, only applications signed with the same certificate can obtain the permission.","Suppression the rule service_exported_protected_permission_not_defined in com.fpe.comptenickel"
